"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"11","경기도 성남시 중원구 상대원동","1391-8","1391","0008","빛나아트맨션가동","전세","59.8800","202605","06","19,677","0","3","2001","박석로15번길 10-2","202605~202805","신규","-","","","연립다세대"
"12","경기도 성남시 중원구 금광동","177","0177","0000","수&秀캐슬","전세","60.7700","202605","06","30,000","0","4","2013","금상로57번길 16","202607~202807","신규","-","","","연립다세대"
"13","경기도 성남시 중원구 은행동","2369","2369","0000","(2369-0)","전세","38.2800","202605","06","11,500","0","4","1993","자혜로 79-6","202606~202806","신규","-","","","연립다세대"
"14","경기도 성남시 중원구 은행동","2447","2447","0000","금복빌라","전세","40.3300","202605","06","13,000","0","1","1994","은행로88번길 23","202607~202807","신규","-","","","연립다세대"
"15","경기도 성남시 중원구 은행동","1309-1","1309","0001","대운빌라(2차)","전세","54.3300","202605","04","12,300","0","-1","1994","은이로 34-5","202606~202806","신규","-","","","연립다세대"
"16","경기도 성남시 중원구 하대원동","110-1","0110","0001","모란역리베니움Ⅰ","월세","33.6300","202605","03","20,500","30","13","2017","둔촌대로 160","202606~202806","신규","-","","","연립다세대"
"17","경기도 성남시 중원구 중앙동","2070-1","2070","0001","한신빌리지","전세","45.5600","202605","02","15,000","0","3","2000","광명로256번길 5","202608~202808","신규","-","","","연립다세대"
"18","경기도 성남시 중원구 은행동","1052","1052","0000","반석하이츠빌라","전세","43.5500","202605","02","13,000","0","2","1993","은이로27번길 5","202605~202805","갱신","사용","13,000","0","연립다세대"
"19","경기도 성남시 중원구 은행동","2321","2321","0000","유성빌라(A)","전세","53.9600","202605","02","11,000","0","-1","2000","금빛로112번길 8","202606~202806","신규","-","","","연립다세대"
"20","경기도 성남시 중원구 성남동","3693","3693","0000","현대빌라트","월세","48.4000","202605","02","2,000","95","1","2001","광명로42번길 24-1","202607~202807","신규","-","","","연립다세대"
"21","경기도 성남시 중원구 상대원동","1924-2","1924","0002","동성빌라2호","월세","33.6800","202605","02","1,000","50","3","1987","둔촌대로401번길 15","202605~202805","신규","-","","","연립다세대"
"22","경기도 성남시 중원구 은행동","1982","1982","0000","신광빌라","전세","59.8200","202605","01","15,900","0","4","1992","은행로81번길 11-9","202606~202806","갱신","-","15,900","0","연립다세대"
"23","경기도 성남시 중원구 성남동","3994","3994","0000","신흥다세대","월세","36.5200","202605","01","2,000","70","2","1988","둔촌대로151번길 24","202607~202807","신규","-","","","연립다세대"
"24","경기도 성남시 중원구 은행동","1473-3","1473","0003","태화빌라","전세","49.7400","202605","01","15,000","0","4","1993","산성대로518번길 24","202607~202807","신규","-","","","연립다세대"
"25","경기도 성남시 중원구 은행동","1869-1","1869","0001","둥지빌라","전세","52.8000","202605","01","12,000","0","1","1994","은행로18번길 26","202607~202807","신규","-","","","연립다세대"
"26","경기도 성남시 중원구 은행동","688","0688","0000","화성맨션","전세","59.7300","202604","30","27,000","0","2","2001","산성대로552번길 7-3","202605~202805","갱신","-","25,000","0","연립다세대"
"27","경기도 성남시 중원구 은행동","1600","1600","0000","백산빌라","전세","38.3800","202604","30","11,500","0","1","1992","은행로3번길 16-1","202606~202806","신규","-","","","연립다세대"
"28","경기도 성남시 중원구 은행동","923","0923","0000","금능빌라","전세","38.6400","202604","30","10,000","0","2","1995","은이로63번길 4-12","202606~202806","신규","-","","","연립다세대"
"29","경기도 성남시 중원구 은행동","1252-4","1252","0004","둥지빌라","전세","55.8050","202604","30","10,900","0","4","1993","은이로42번길 6-12","202606~202806","갱신","-","10,390","0","연립다세대"
"30","경기도 성남시 중원구 하대원동","124-4","0124","0004","헤렌하우스(102동)","월세","56.6620","202604","30","23,800","5","5","2015","원터로29번길 2","202605~202805","신규","-","","","연립다세대"
"31","경기도 성남시 중원구 금광동","3744","3744","0000","현대아트빌리지","전세","45.2400","202604","29","15,000","0","1","1997","자혜로16번길 59-8","202605~202805","신규","-","","","연립다세대"
"32","경기도 성남시 중원구 은행동","751","0751","0000","은진빌라","전세","46.8400","202604","29","10,000","0","-1","1991","은이로29번길 21","202605~202805","신규","-","","","연립다세대"
"33","경기도 성남시 중원구 은행동","1143-4","1143","0004","은총빌라","전세","40.2000","202604","29","12,500","0","4","1994","은이로43번길 1","202605~202805","신규","-","","","연립다세대"
"34","경기도 성남시 중원구 은행동","1074","1074","0000","서강빌라","월세","39.3300","202604","29","1,000","40","-1","1992","은이로31번길 9-1","202605~202805","신규","-","","","연립다세대"
"35","경기도 성남시 중원구 은행동","883-1","0883","0001","현대빌라(883-1)","전세","39.9500","202604","29","10,500","0","3","1994","은이로63번길 8-21","202604~202802","갱신","-","9,900","0","연립다세대"
"36","경기도 성남시 중원구 은행동","930","0930","0000","여진빌라","월세","59.7200","202604","29","13,000","20","1","1994","순환로379번길 27","202605~202805","신규","-","","","연립다세대"
"37","경기도 성남시 중원구 상대원동","2020","2020","0000","목화맨션","전세","67.3500","202604","28","19,950","0","1","2001","희망로318번길 5","202605~202805","갱신","사용","19,000","0","연립다세대"
"38","경기도 성남시 중원구 은행동","2352-2","2352","0002","쌍용빌라(B)","전세","45.4000","202604","28","15,000","0","3","1996","금빛로 110-1","202607~202807","신규","-","","","연립다세대"
"39","경기도 성남시 중원구 은행동","1837-1","1837","0001","로얄빌라","전세","34.5600","202604","28","12,500","0","1","1992","자혜로17번길 52-6","202606~202806","갱신","-","12,500","0","연립다세대"
"40","경기도 성남시 중원구 금광동","2708","2708","0000","덕흥빌라","전세","39.1200","202604","28","14,000","0","2","1994","자혜로 82-4","202606~202806","신규","-","","","연립다세대"
"41","경기도 성남시 중원구 금광동","2993","2993","0000","한영빌라(가)","전세","47.4900","202604","28","18,000","0","2","1991","금빛로85번길 13","202607~202807","신규","-","","","연립다세대"
"42","경기도 성남시 중원구 성남동","4265","4265","0000","스타맨션(A동)","전세","60.5700","202604","28","22,000","0","-1","2001","성남대로1147번길 13","202606~202806","신규","-","","","연립다세대"
"43","경기도 성남시 중원구 중앙동","1705","1705","0000","세종빌라","월세","69.1600","202604","28","10,000","10","-1","1996","광명로256번길 47","202605~202805","신규","-","","","연립다세대"
"44","경기도 성남시 중원구 은행동","1052","1052","0000","반석하이츠빌라","전세","43.0500","202604","27","8,000","0","-1","1993","은이로27번길 5","202605~202805","신규","-","","","연립다세대"
"45","경기도 성남시 중원구 은행동","1874","1874","0000","엄지빌라(B)","전세","58.0900","202604","27","18,000","0","2","1997","은행로38번길 11-20","202606~202806","갱신","-","19,000","0","연립다세대"
"46","경기도 성남시 중원구 상대원동","1924-2","1924","0002","동성빌라2호","전세","33.6800","202604","26","13,500","0","3","1987","둔촌대로401번길 15","202606~202806","신규","-","","","연립다세대"
"47","경기도 성남시 중원구 성남동","2402","2402","0000","성진하이츠빌라","월세","59.9300","202604","26","4,000","80","1","1999","광명로94번길 13","202604~202804","갱신","-","5,000","70","연립다세대"
"48","경기도 성남시 중원구 은행동","690","0690","0000","솔그린빌리지","전세","60.6900","202604","25","22,000","0","4","1997","산성대로562번길 8","202605~202805","신규","-","","","연립다세대"
"49","경기도 성남시 중원구 은행동","1187","1187","0000","안성빌라","전세","44.8200","202604","25","15,200","0","3","1997","은이로61번길 5-1","202606~202806","갱신","사용","14,700","0","연립다세대"
"50","경기도 성남시 중원구 상대원동","1749","1749","0000","국제맨션5","전세","74.7900","202604","24","28,000","0","3","2003","둔촌대로401번길 2","202606~202806","신규","-","","","연립다세대"
"51","경기도 성남시 중원구 은행동","1187","1187","0000","안성빌라","전세","44.8200","202604","24","9,450","0","4","1997","은이로61번길 5-1","202605~202805","갱신","-","9,000","0","연립다세대"
"52","경기도 성남시 중원구 은행동","2429","2429","0000","대림빌라(3차)","전세","58.3550","202604","24","16,000","0","3","1992","은행로88번길 13","202605~202805","신규","-","","","연립다세대"
"53","경기도 성남시 중원구 금광동","3785","3785","0000","한신빌라","전세","40.1400","202604","24","12,000","0","-1","1991","자혜로16번길 49-18","202607~202807","신규","-","","","연립다세대"
"54","경기도 성남시 중원구 성남동","2514","2514","0000","리치랜드","월세","14.6300","202604","23","500","41","4","2011","광명로116번길 3","202605~202705","신규","-","","","연립다세대"
"55","경기도 성남시 중원구 금광동","2993","2993","0000","한영빌라(가)","전세","48.2850","202604","23","13,000","0","4","1991","금빛로85번길 13","202606~202806","신규","-","","","연립다세대"
"56","경기도 성남시 중원구 금광동","3849","3849","0000","동양주택(나)","전세","44.6500","202604","23","9,000","0","-1","1987","산성대로396번길 22-1","202605~202805","신규","-","","","연립다세대"
"57","경기도 성남시 중원구 성남동","2564","2564","0000","삼흥빌라B동","전세","38.9900","202604","22","15,000","0","1","1986","원터로99번길 7-4","202606~202806","신규","-","","","연립다세대"
"58","경기도 성남시 중원구 도촌동","639","0639","0000","동분당KCC스위첸파티오1단지","전세","84.8200","202604","22","72,000","0","1","2019","도촌남로 70-16","202607~202807","신규","-","","","연립다세대"
"59","경기도 성남시 중원구 금광동","2704","2704","0000","한강빌라(8차)","전세","39.3800","202604","20","12,000","0","4","1993","자혜로 84-4","202606~202806","신규","-","","","연립다세대"
"60","경기도 성남시 중원구 은행동","1794","1794","0000","한성빌라","전세","41.2200","202604","20","1,300","0","4","1993","은행로32번길 3-1","202604~202704","신규","-","","","연립다세대"
"61","경기도 성남시 중원구 은행동","1458","1458","0000","태화빌라","전세","47.5200","202604","20","14,500","0","1","1993","은이로16번길 5","202605~202805","신규","-","","","연립다세대"
"62","경기도 성남시 중원구 은행동","2369","2369","0000","(2369-0)","전세","39.9600","202604","20","12,000","0","4","1993","자혜로 79-6","202607~202807","신규","-","","","연립다세대"
"63","경기도 성남시 중원구 은행동","2250-3","2250","0003","명보빌라","전세","46.6400","202604","20","10,060","0","-1","1991","은행로78번길 8","202605~202805","신규","-","","","연립다세대"
"64","경기도 성남시 중원구 은행동","2246","2246","0000","까치빌라(3차)","전세","48.8400","202604","20","13,500","0","2","1994","자혜로57번길 27","202606~202806","신규","-","","","연립다세대"
"65","경기도 성남시 중원구 은행동","2239","2239","0000","대왕주택(B)","전세","34.0100","202604","20","11,000","0","1","1993","은행로78번길 3-1","202605~202805","신규","-","","","연립다세대"
"66","경기도 성남시 중원구 상대원동","1478-3","1478","0003","금호C동","전세","46.2000","202604","20","11,400","0","-1","1987","박석로49번길 23","202605~202805","신규","-","","","연립다세대"
"67","경기도 성남시 중원구 금광동","2713","2713","0000","해원주택","전세","34.8450","202604","20","8,700","0","-1","1994","자혜로 80-2","202605~202805","신규","-","","","연립다세대"
"68","경기도 성남시 중원구 중앙동","1982","1982","0000","명성빌라","전세","41.2800","202604","20","8,000","0","3","1992","광명로256번길 21-3","202605~202805","신규","-","","","연립다세대"
"69","경기도 성남시 중원구 중앙동","1842","1842","0000","중원아트빌라","전세","55.4400","202604","20","15,800","0","3","1996","광명로256번길 47-23","202606~202806","신규","-","","","연립다세대"
"70","경기도 성남시 중원구 금광동","3470","3470","0000","중앙아트빌(B동)","전세","58.7110","202604","18","32,000","0","3","2014","광명로323번길 20-7","202606~202806","신규","-","","","연립다세대"
"71","경기도 성남시 중원구 성남동","3047","3047","0000","리치랜드2","월세","17.8600","202604","18","300","42","5","2013","원터로75번길 11-14","202605~202705","갱신","-","300","42","연립다세대"
"72","경기도 성남시 중원구 은행동","2270-1","2270","0001","밀알빌라(8차)","전세","45.7000","202604","18","14,200","0","4","1997","자혜로57번길 21-1","202606~202806","신규","-","","","연립다세대"
"73","경기도 성남시 중원구 금광동","3067","3067","0000","한솔빌라","전세","46.4950","202604","18","14,100","0","4","1996","금빛로61번길 8-3","202605~202805","갱신","-","14,100","0","연립다세대"
"74","경기도 성남시 중원구 은행동","1473","1473","0000","대호맨션","월세","59.0800","202604","18","2,000","60","1","1995","산성대로518번길 22","202606~202806","갱신","-","2,000","60","연립다세대"
"75","경기도 성남시 중원구 은행동","2331-1","2331","0001","금강빌라(2331-1)","월세","37.6200","202604","18","12,400","5","4","1991","자혜로57번길 7-3","202606~202806","신규","-","","","연립다세대"
"76","경기도 성남시 중원구 은행동","1035-7","1035","0007","청구빌라","월세","48.1200","202604","18","12,000","3","4","1991","은이로29번길 9-1","202605~202805","갱신","-","12,000","0","연립다세대"
"77","경기도 성남시 중원구 도촌동","705","0705","0000","동분당KCC스위첸파티오2단지","월세","84.9800","202604","18","40,000","100","1","2019","도촌남로 88","202605~202805","신규","-","","","연립다세대"
"78","경기도 성남시 중원구 상대원동","1574-1","1574","0001","거산맨션","전세","46.5900","202604","17","12,500","0","4","1995","박석로15번길 20-9","202605~202805","갱신","사용","12,000","0","연립다세대"
"79","경기도 성남시 중원구 은행동","2177-2","2177","0002","(2177-2)","전세","28.2400","202604","17","7,000","0","3","1995","자혜로 93-1","202605~202805","신규","-","","","연립다세대"
"80","경기도 성남시 중원구 은행동","2017","2017","0000","(2017-0)","전세","30.9400","202604","17","10,800","0","1","1991","은행로81번길 1-4","202605~202805","신규","-","","","연립다세대"
"81","경기도 성남시 중원구 은행동","1268-1","1268","0001","산들빌라(5차)","월세","59.8600","202604","17","5,000","70","3","1995","산성대로518번길 42-10","202604~202804","갱신","-","5,000","60","연립다세대"
"82","경기도 성남시 중원구 은행동","942-1","0942","0001","솔아트빌라(B)","월세","42.5400","202604","17","12,500","10","1","1997","은이로64번길 1-3","202605~202805","신규","-","","","연립다세대"
"83","경기도 성남시 중원구 은행동","1181","1181","0000","정진빌라","전세","40.8000","202604","17","9,000","0","-1","1991","은이로 62","202605~202805","신규","-","","","연립다세대"
"84","경기도 성남시 중원구 은행동","1122","1122","0000","청구빌라","전세","36.3600","202604","17","11,800","0","3","1994","은이로37번길 4","202605~202805","갱신","-","11,500","0","연립다세대"
"85","경기도 성남시 중원구 은행동","2017-1","2017","0001","(2017-1)","전세","39.6000","202604","17","11,500","0","1","1991","은행로81번길 3-3","202605~202805","신규","-","","","연립다세대"
"86","경기도 성남시 중원구 은행동","1673","1673","0000","동신빌라","전세","42.4800","202604","17","9,000","0","-1","1993","은행로5번길 3","202606~202806","신규","-","","","연립다세대"
"87","경기도 성남시 중원구 상대원동","1603","1603","0000","청운골든맨숀","전세","76.9000","202604","17","25,000","0","4","2000","박석로15번길 25","202604~202804","갱신","-","25,000","0","연립다세대"
"88","경기도 성남시 중원구 상대원동","1360","1360","0000","금성아트빌라","전세","64.5400","202604","17","16,000","0","2","1997","박석로33번길 3","202604~202804","갱신","-","15,000","0","연립다세대"
"89","경기도 성남시 중원구 상대원동","1924-2","1924","0002","동성빌라2호","전세","33.6800","202604","17","8,000","0","2","1987","둔촌대로401번길 15","202605~202805","신규","-","","","연립다세대"
"90","경기도 성남시 중원구 성남동","3374","3374","0000","신원맨션1동","전세","70.4900","202604","16","28,000","0","6","2001","제일로63번길 22","202606~202806","갱신","-","25,000","0","연립다세대"
"91","경기도 성남시 중원구 성남동","3951","3951","0000","삼성하이빌","월세","69.4450","202604","16","9,000","120","6","2016","둔촌대로 139-2","202606~202806","신규","-","","","연립다세대"
"92","경기도 성남시 중원구 은행동","2099","2099","0000","녹원빌라(1차)","전세","49.6000","202604","16","14,700","0","3","1991","은행로87번길 19-1","202606~202806","신규","-","","","연립다세대"
"93","경기도 성남시 중원구 은행동","1473","1473","0000","대호맨션","월세","59.0800","202604","16","13,000","50","2","1995","산성대로518번길 22","202605~202805","신규","-","","","연립다세대"
"94","경기도 성남시 중원구 상대원동","1693-2","1693","0002","빛나아트맨션7차","전세","59.5800","202604","16","14,100","0","2","2001","박석로15번길 32-6","202604~202804","신규","-","","","연립다세대"
"95","경기도 성남시 중원구 중앙동","1853","1853","0000","성우맨션","전세","54.5550","202604","15","19,000","0","5","2000","광명로262번길 28","202607~202807","신규","-","","","연립다세대"
"96","경기도 성남시 중원구 상대원동","2018","2018","0000","홍성빌라","전세","41.0200","202604","15","15,000","0","1","1990","희망로318번길 7","202606~202806","신규","-","","","연립다세대"
"97","경기도 성남시 중원구 은행동","1998","1998","0000","금능빌라(1998)","전세","49.4400","202604","15","13,500","0","4","1994","은행로81번길 7-7","202607~202806","갱신","사용","13,000","0","연립다세대"
"98","경기도 성남시 중원구 은행동","1802","1802","0000","송학빌라","전세","34.8600","202604","15","10,000","0","4","1992","은행로32번길 6","202605~202805","신규","-","","","연립다세대"
"99","경기도 성남시 중원구 성남동","2790","2790","0000","현대하이츠빌라(가동)","월세","52.7700","202604","15","1,000","60","-1","1993","시민로 107-5","202605~202805","신규","-","","","연립다세대"
"100","경기도 성남시 중원구 성남동","2923","2923","0000","삼성맨션102동","월세","59.9950","202604","15","25,000","25","4","2000","원터로93번길 15","202605~202805","신규","-","","","연립다세대"
"101","경기도 성남시 중원구 중앙동","6-5","0006","0005","제일연립(6-5)","월세","40.0700","202604","15","500","38","3","1982","산성대로360번길 9","202605~202805","신규","-","","","연립다세대"
"102","경기도 성남시 중원구 상대원동","1921","1921","0000","대연하늘채Ⅱ","전세","40.5300","202604","15","31,000","0","4","2019","둔촌대로401번길 19","202606~202806","신규","-","","","연립다세대"
"103","경기도 성남시 중원구 은행동","1778-3","1778","0003","동명빌라","전세","43.1900","202604","15","6,800","0","4","1992","은행로38번길 4-1","202604~202803","갱신","-","6,500","0","연립다세대"
"104","경기도 성남시 중원구 은행동","1677","1677","0000","반석빌라(1677)","전세","44.8750","202604","15","19,000","0","2","1993","은행로5번길 7","202606~202806","신규","-","","","연립다세대"
"105","경기도 성남시 중원구 은행동","1225-1","1225","0001","기원빌라(A)","월세","36.6600","202604","15","1,000","40","1","1994","은이로42번길 10-1","202605~202805","갱신","-","1,000","40","연립다세대"
"106","경기도 성남시 중원구 성남동","2792","2792","0000","현대하이츠빌라(나동)","전세","53.5100","202604","14","18,000","0","3","1993","시민로 107-7","202604~202804","신규","-","","","연립다세대"
"107","경기도 성남시 중원구 금광동","3085","3085","0000","금광동3085공동주택","월세","46.1900","202604","14","3,000","90","1","2022","광명로361번길 12","202605~202805","신규","-","","","연립다세대"
"108","경기도 성남시 중원구 상대원동","1684-1","1684","0001","우양빌라트","전세","61.1450","202604","14","21,000","0","3","2003","박석로25번길 36","202604~202804","신규","-","","","연립다세대"
"109","경기도 성남시 중원구 상대원동","1466","1466","0000","SK하이빌(1466-0)","전세","59.8900","202604","14","33,000","0","5","2004","박석로49번길 17","202606~202806","신규","-","","","연립다세대"
"110","경기도 성남시 중원구 상대원동","1355-4","1355","0004","참조은맨션(1355-4)","전세","63.4700","202604","14","20,000","0","1","2002","박석로33번길 8","202605~202805","신규","-","","","연립다세대"
"111","경기도 성남시 중원구 은행동","1052","1052","0000","반석하이츠빌라","전세","43.0500","202604","14","7,000","0","-1","1993","은이로27번길 5","202604~202610","갱신","-","10,000","0","연립다세대"
"112","경기도 성남시 중원구 은행동","2291","2291","0000","밀알빌라(1차)","전세","39.6000","202604","14","7,537","0","-1","1991","자혜로57번길 15-2","202605~202805","갱신","사용","7,187","0","연립다세대"
"113","경기도 성남시 중원구 은행동","567","0567","0000","공간맨션","월세","60.6800","202604","14","16,000","45","4","2002","산성대로604번길 16","202606~202806","신규","-","","","연립다세대"
"114","경기도 성남시 중원구 은행동","1720-3","1720","0003","태화빌라(1720-3)","월세","50.1600","202604","14","13,000","20","4","1993","산성대로516번길 16","202606~202806","신규","-","","","연립다세대"
"115","경기도 성남시 중원구 상대원동","1345-1","1345","0001","미래하이빌","전세","59.6000","202604","13","14,227","0","4","2001","박석로41번길 5","202605~202805","갱신","-","13,550","0","연립다세대"
"116","경기도 성남시 중원구 은행동","1716","1716","0000","삼성맨션","전세","58.9000","202604","13","18,000","0","1","1993","산성대로516번길 12","202605~202805","신규","-","","","연립다세대"
"117","경기도 성남시 중원구 은행동","1439","1439","0000","(1439-0)","월세","38.9700","202604","13","8,000","5","-1","2000","은이로 20-3","202605~202805","신규","-","","","연립다세대"
"118","경기도 성남시 중원구 상대원동","1370-5","1370","0005","장미맨션","전세","66.6700","202604","13","17,000","0","4","2000","박석로25번길 10-12","202605~202805","신규","-","","","연립다세대"
"119","경기도 성남시 중원구 상대원동","2992-20","2992","0020","대원이페리움","전세","60.2700","202604","11","32,000","0","5","2018","금상로57번길 7-5","202606~202806","신규","-","","","연립다세대"
"120","경기도 성남시 중원구 성남동","2369","2369","0000","선경빌라","전세","51.0300","202604","11","16,000","0","1","2001","원터로105번길 33-8","202606~202806","갱신","-","14,000","0","연립다세대"
"121","경기도 성남시 중원구 은행동","2343-1","2343","0001","현대빌라(2343-1)","전세","43.3200","202604","11","9,000","0","-1","1993","자혜로57번길 5-3","202605~202805","갱신","사용","9,000","0","연립다세대"
"122","경기도 성남시 중원구 은행동","1592-5","1592","0005","대동주택","전세","37.6400","202604","11","10,000","0","4","1993","은행로3번길 24","202605~202805","신규","-","","","연립다세대"
"123","경기도 성남시 중원구 은행동","1224-1","1224","0001","은성2차빌라","월세","54.2400","202604","11","2,000","60","1","1995","은이로42번길 12-3","202604~202804","신규","-","","","연립다세대"
"124","경기도 성남시 중원구 은행동","2436","2436","0000","(2436-0)","전세","59.9300","202604","11","16,800","0","3","1997","자혜로 69","202604~202804","갱신","사용","16,000","0","연립다세대"
"125","경기도 성남시 중원구 은행동","744","0744","0000","태평양빌라","전세","50.6700","202604","11","13,700","0","1","1992","은이로29번길 13","202604~202804","갱신","-","14,000","0","연립다세대"
"126","경기도 성남시 중원구 금광동","94","0094","0000","(94-0)","월세","59.0000","202604","11","23,500","10","5","2010","금상로57번길 21","202605~202805","신규","-","","","연립다세대"
"127","경기도 성남시 중원구 하대원동","121-1","0121","0001","삼두(가동)","월세","43.8000","202604","11","2,000","60","3","1986","원터로17번길 17","202605~202805","신규","-","","","연립다세대"
"128","경기도 성남시 중원구 은행동","1903","1903","0000","동산빌라","전세","38.7000","202604","10","8,300","0","-1","1992","은행로38번길 21","202606~202806","신규","-","","","연립다세대"
"129","경기도 성남시 중원구 중앙동","1802","1802","0000","그린빌라","전세","48.1800","202604","10","8,500","0","-1","1996","광명로256번길 23-16","202605~202805","갱신","사용","8,500","0","연립다세대"
"130","경기도 성남시 중원구 은행동","1688","1688","0000","용궁아트","전세","41.8800","202604","10","13,000","0","4","1993","은행로5번길 10","202605~202805","신규","-","","","연립다세대"
"131","경기도 성남시 중원구 은행동","2005-1","2005","0001","(2005-1)","전세","39.6000","202604","09","11,300","0","1","1999","은행로81번길 3-10","202605~202805","신규","-","","","연립다세대"
"132","경기도 성남시 중원구 은행동","2258-5","2258","0005","동부빌라","전세","40.0750","202604","09","13,000","0","2","1994","은행로82번길 6-1","202606~202806","신규","-","","","연립다세대"
"133","경기도 성남시 중원구 금광동","2721","2721","0000","백산빌라(2차)","전세","38.9400","202604","09","9,400","0","-1","1994","자혜로 76-1","202605~202805","신규","-","","","연립다세대"
"134","경기도 성남시 중원구 상대원동","1724","1724","0000","빛나아트맨션4차","전세","68.6600","202604","09","26,000","0","4","2000","박석로5번길 31","202606~202806","신규","-","","","연립다세대"
"135","경기도 성남시 중원구 상대원동","1691","1691","0000","문형빌라","전세","46.8300","202604","09","7,300","0","-1","1993","둔촌대로413번길 13-1","202605~202805","갱신","사용","7,000","0","연립다세대"
"136","경기도 성남시 중원구 도촌동","639","0639","0000","동분당KCC스위첸파티오1단지","전세","84.7400","202604","09","68,000","0","1","2019","도촌남로 70-16","202604~202804","갱신","사용","65,000","0","연립다세대"
"137","경기도 성남시 중원구 은행동","922","0922","0000","수진빌라","전세","53.2000","202604","09","15,000","0","4","1994","은이로63번길 4-4","202607~202807","신규","-","","","연립다세대"
"138","경기도 성남시 중원구 은행동","930","0930","0000","여진빌라","전세","59.7200","202604","09","11,500","0","-1","1994","순환로379번길 27","202604~202804","갱신","사용","11,500","0","연립다세대"
